number,title,instagram,tiktok
1,Novocaine Condom,https://www.instagram.com/reel/DXseLR7jAgX/,https://www.tiktok.com/@george__hayward/video/7633971163101777182
2,Christmas Miracle,https://www.instagram.com/reel/DSgBmKgkrUp/,https://www.tiktok.com/@george__hayward/video/7586061471755291934
3,Don't Tell Me,https://www.instagram.com/reel/DWPr5Vnjqi0/,https://www.tiktok.com/@george__hayward/video/7547822399224335647
4,Iran War,https://www.instagram.com/reel/DWPr5Vnjqi0/,https://www.tiktok.com/@george__hayward/video/7620598437997743391
5,Support the Troops,https://www.instagram.com/reel/DRVcBdWktHw/,https://www.tiktok.com/@george__hayward/video/7575307794543398174
6,Good Old Days,https://www.instagram.com/reel/DPFF04Sklkq/,https://www.tiktok.com/@george__hayward/video/7554507760021310751
7,Confront Fear,https://www.instagram.com/reel/DNvuA3OXBJJ/,https://www.tiktok.com/@george__hayward/video/7542204914194271518
8,Panties Dropping for Jesus,https://www.instagram.com/reel/DM3NGbMvUL8/,https://www.tiktok.com/@george__hayward/video/7550440220664040735
9,Dad,https://www.instagram.com/reel/DNG2YrDvezj/,https://www.tiktok.com/@george__hayward/video/7560897447816465694
10,ChatGPT,https://www.instagram.com/reel/DXaKfTRD7yj/,https://www.tiktok.com/@george__hayward/video/7631328732216626463
11,ICE,https://www.instagram.com/reel/DUUXyJWDAnx/,https://www.tiktok.com/@george__hayward/video/7602824275422186782
12,One Thing Every Day,https://www.instagram.com/reel/DXAVxjkkugr/,https://www.tiktok.com/@george__hayward/video/7627612122234621214
